# ASN 注册表 —— ASN 的展示名 + 运营商/厂商标注。可直接 PR 补充。
#
# 列:
#   asn      AS 号(纯数字)
#   name     中文/主展示名(列表、路径、面板用)。如 电信CN2、阿里云
#   name_en  英文别名(可选)。英文界面优先用它;留空则前端自动从中文名滤出拉丁部分
#            (如「电信CN2」→「CN2」),所以三大运营商的纯拉丁后缀可不填
#   op       运营商/厂商分类。三大运营商有专属配色:电信 联通 移动;
#            其余:教育 科技 国际 IDC(IDC=云/主机厂商,无专属配色)
#
# 注意:这是「默认表」,config.json 里的 asn_registry 若存在会整体覆盖本表。
# 仅作展示与下拉用,不含任何线路质量含义。
asn,name,name_en,op
# ── 中国电信 ──
4809,电信CN2,,电信
23764,电信CTGNet,,电信
4134,电信163(ChinaNet),,电信
4812,上海电信,Shanghai Telecom,电信
4847,北京电信,Beijing Telecom,电信
# ── 中国联通 ──
9929,联通CUII,,联通
10099,联通(CUG),,联通
4837,联通169,,联通
4808,北京联通,Beijing Unicom,联通
17621,上海联通,Shanghai Unicom,联通
17622,广州联通,Guangzhou Unicom,联通
17816,广东联通,Guangdong Unicom,联通
# ── 中国移动 ──
58807,移动CMIN2,,移动
58453,移动CMI,,移动
9808,移动CMNET,,移动
24400,上海移动,China Mobile,移动
56040,广东移动,Guangdong Mobile,移动
56041,浙江移动,Zhejiang Mobile,移动
134810,吉林移动,Jilin Mobile,移动
56046,江苏移动,JiangSu Mobile,移动
132525,黑龙江移动,Heilongjiang Mobile,移动
56044,辽宁移动,Liaoning Mobile,移动
# ── 中国教育和科研计算机网 CERNET ──
4538,教育网CERNET,,教育
23910,教育网CERNET2(IPv6),,教育
# ── 中国科技网 CSTNET ──
7497,科技网CSTNET,,科技
# ── 常见国际 transit ──
1299,Arelion(Telia),Arelion,国际
2914,NTT,NTT,国际
6453,TATA,TATA,国际
3257,GTT,GTT,国际
6762,Sparkle,Sparkle,国际
12956,Telxius,Telxius,国际
174,Cogent,Cogent,国际
3356,Lumen,Lumen,国际
6939,HE,Hurricane Electric,国际
3491,PCCW,PCCW,国际
1273,Vodafone,Vodafone,国际
701,Verizon,Verizon,国际
7018,AT&T,AT&T,国际
3320,DTAG,Deutsche Telekom,国际
137409,GSL,Global Secure Layer,国际
# ── 云 / IDC 厂商(op=IDC,无专属配色)──
# 国内云
37963,阿里云,Alibaba Cloud,IDC
45102,阿里云(国际),Alibaba Cloud (Intl),IDC
45090,腾讯云,Tencent Cloud,IDC
132203,腾讯云(国际),Tencent Cloud (Intl),IDC
55990,华为云,Huawei Cloud,IDC
136907,华为云(国际),Huawei Cloud (Intl),IDC
38365,百度云,Baidu Cloud,IDC
135377,优刻得UCloud,UCloud,IDC
# 国际云 / 主机商
16509,亚马逊AWS,Amazon AWS,IDC
14618,亚马逊AWS,Amazon AWS,IDC
15169,谷歌,Google,IDC
8075,微软Azure,Microsoft Azure,IDC
13335,Cloudflare,Cloudflare,IDC
31898,甲骨文云OCI,Oracle Cloud,IDC
14061,DigitalOcean,DigitalOcean,IDC
20473,Vultr,Vultr,IDC
63949,Linode,Akamai Linode,IDC
20940,Akamai,Akamai,IDC
24940,Hetzner,Hetzner,IDC
16276,OVH,OVH,IDC
906,DMIT,DMIT,IDC
61112,Akile,Akile,IDC
212890,AetherCloud,AetherCloud,IDC
